IndicatorNameRu;CountryNameRu;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960;CountryName;CountryCode;IndicatorName;IndicatorCode
Население, всего;European Union;;5,096684E+08;5,083447E+08;5,080509E+08;5,050986E+08;5,055266E+08;5,044122E+08;5,033104E+08;5,018039E+08;4,99916E+08;4,980745E+08;4,962009E+08;4,942323E+08;4,922529E+08;4,904245E+08;4,890736E+08;4,878655E+08;4,870604E+08;4,86055E+08;4,854091E+08;4,845817E+08;4,839273E+08;4,830019E+08;4,819209E+08;4,803422E+08;4,78943E+08;4,779884E+08;4,763558E+08;4,747415E+08;4,732301E+08;4,718883E+08;4,705871E+08;4,694498E+08;4,684197E+08;4,673462E+08;4,660818E+08;4,643408E+08;4,624983E+08;4,607069E+08;4,587466E+08;4,568026E+08;4,546383E+08;4,522569E+08;4,497888E+08;4,471518E+08;4,443682E+08;4,420623E+08;4,397307E+08;4,369161E+08;4,340015E+08;4,308684E+08;4,275926E+08;4,240759E+08;4,203933E+08;4,166706E+08;4,13007E+08;4,094985E+08;European Union;EUU;Population, total;SP.POP.TOTL
Население, всего;Fragile and conflict affected situations;;4,856092E+08;4,743954E+08;4,635358E+08;4,529462E+08;4,425353E+08;4,322252E+08;4,219991E+08;4,118732E+08;4,018639E+08;3,920139E+08;3,82338E+08;3,728322E+08;3,634793E+08;3,543325E+08;3,454619E+08;3,369095E+08;3,28784E+08;3,211304E+08;3,135907E+08;3,058687E+08;2,980404E+08;2,900438E+08;2,819462E+08;2,739093E+08;2,661665E+08;2,588816E+08;2,502101E+08;2,439538E+08;2,380615E+08;2,324222E+08;2,269418E+08;2,216176E+08;2,164548E+08;2,113685E+08;2,062574E+08;2,010511E+08;1,957048E+08;1,902457E+08;1,847791E+08;1,794538E+08;1,743772E+08;1,695879E+08;1,650521E+08;1,60729E+08;1,565459E+08;1,524564E+08;1,484461E+08;1,445366E+08;1,407482E+08;1,371115E+08;1,336496E+08;1,303663E+08;1,272486E+08;1,242782E+08;1,214293E+08;1,186911E+08;Fragile and conflict affected situations;FCS;Population, total;SP.POP.TOTL
Население, всего;Heavily indebted poor countries (HIPC);;7,211041E+08;7,017141E+08;6,8273E+08;6,641638E+08;6,460288E+08;6,283336E+08;6,110879E+08;5,942885E+08;5,779142E+08;5,619346E+08;5,463293E+08;5,310702E+08;5,16163E+08;5,016597E+08;4,87634E+08;4,74127E+08;4,611805E+08;4,487469E+08;4,366712E+08;4,247419E+08;4,128159E+08;4,008251E+08;3,88837E+08;3,770116E+08;3,655813E+08;3,547142E+08;3,444489E+08;3,347316E+08;3,25525E+08;3,167602E+08;3,083771E+08;3,003742E+08;2,92744E+08;2,854105E+08;2,782785E+08;2,71276E+08;2,643684E+08;2,575585E+08;2,508605E+08;2,44306E+08;2,379189E+08;2,316954E+08;2,256238E+08;2,197124E+08;2,13972E+08;2,084104E+08;2,030296E+08;1,978283E+08;1,928063E+08;1,879623E+08;1,832944E+08;1,788026E+08;1,744845E+08;1,703327E+08;1,663375E+08;1,624912E+08;Heavily indebted poor countries (HIPC);HPC;Population, total;SP.POP.TOTL
Население, всего;High income;;1,18719E+09;1,180598E+09;1,174928E+09;1,166575E+09;1,161326E+09;1,154477E+09;1,147006E+09;1,138677E+09;1,129339E+09;1,120543E+09;1,112235E+09;1,104476E+09;1,096886E+09;1,089656E+09;1,082312E+09;1,074879E+09;1,068096E+09;1,061211E+09;1,054469E+09;1,047406E+09;1,040395E+09;1,03149E+09;1,024162E+09;1,016171E+09;1,009883E+09;1,001966E+09;9,942035E+08;9,86918E+08;9,800911E+08;9,734002E+08;9,666846E+08;9,602509E+08;9,538425E+08;9,470755E+08;9,398805E+08;9,322138E+08;9,246417E+08;9,167993E+08;9,091695E+08;9,017097E+08;8,945169E+08;8,858783E+08;8,768476E+08;8,688755E+08;8,600317E+08;8,512908E+08;8,431407E+08;8,340123E+08;8,26583E+08;8,181674E+08;8,093604E+08;7,999186E+08;7,900809E+08;7,801336E+08;7,700996E+08;7,587165E+08;High income;HIC;Population, total;SP.POP.TOTL
Население, всего;IBRD only;;4,524078E+09;4,480656E+09;4,436685E+09;4,39262E+09;4,348831E+09;4,305817E+09;4,263314E+09;4,220699E+09;4,17869E+09;4,1369E+09;4,094356E+09;4,051261E+09;4,007951E+09;3,964264E+09;3,920282E+09;3,874988E+09;3,828714E+09;3,7807E+09;3,731638E+09;3,681938E+09;3,632548E+09;3,582776E+09;3,532605E+09;3,481852E+09;3,43E+09;3,376233E+09;3,320313E+09;3,262749E+09;3,204133E+09;3,145627E+09;3,088622E+09;3,033241E+09;2,978827E+09;2,923857E+09;2,869464E+09;2,817843E+09;2,767654E+09;2,717946E+09;2,669169E+09;2,620884E+09;2,571488E+09;2,520955E+09;2,468618E+09;2,41542E+09;2,361793E+09;2,307411E+09;2,254547E+09;2,203002E+09;2,153613E+09;2,105544E+09;2,05705E+09;2,011675E+09;1,967421E+09;1,923175E+09;1,89074E+09;1,871185E+09;IBRD only;IBD;Population, total;SP.POP.TOTL
Население, всего;IDA & IBRD total;;6,183635E+09;6,104461E+09;6,025553E+09;5,947367E+09;5,870149E+09;5,793949E+09;5,718853E+09;5,644543E+09;5,571444E+09;5,499192E+09;5,426822E+09;5,354468E+09;5,282418E+09;5,210552E+09;5,138889E+09;5,066288E+09;4,993168E+09;4,918857E+09;4,843629E+09;4,767797E+09;4,692385E+09;4,616732E+09;4,540829E+09;4,464494E+09;4,38737E+09;4,308836E+09;4,228634E+09;4,147007E+09;4,064873E+09;3,983419E+09;3,904169E+09;3,827355E+09;3,752253E+09;3,677247E+09;3,603364E+09;3,532864E+09;3,464009E+09;3,39611E+09;3,329713E+09;3,264427E+09;3,198666E+09;3,132442E+09;3,065049E+09;2,997265E+09;2,929455E+09;2,861116E+09;2,794384E+09;2,729171E+09;2,666367E+09;2,605303E+09;2,544284E+09;2,486895E+09;2,431028E+09;2,375792E+09;2,332645E+09;2,302766E+09;IDA & IBRD total;IBT;Population, total;SP.POP.TOTL
Население, всего;IDA blend;;5,857602E+08;5,739912E+08;5,623779E+08;5,510302E+08;5,399412E+08;5,28772E+08;5,179164E+08;5,076609E+08;4,977129E+08;4,880793E+08;4,787493E+08;4,69662E+08;4,60798E+08;4,521579E+08;4,43628E+08;4,350731E+08;4,264926E+08;4,179288E+08;4,092855E+08;4,006748E+08;3,921412E+08;3,837373E+08;3,753749E+08;3,669831E+08;3,585696E+08;3,5016E+08;3,416718E+08;3,328784E+08;3,241025E+08;3,154286E+08;3,070238E+08;2,989929E+08;2,91267E+08;2,837734E+08;2,764301E+08;2,693285E+08;2,620988E+08;2,550156E+08;2,481533E+08;2,415413E+08;2,351847E+08;2,291075E+08;2,233088E+08;2,177153E+08;2,123937E+08;2,072509E+08;2,022037E+08;1,973386E+08;1,926169E+08;1,880777E+08;1,836777E+08;1,794308E+08;1,752575E+08;1,714025E+08;1,675571E+08;1,638617E+08;IDA blend;IDB;Population, total;SP.POP.TOTL
Население, всего;IDA only;;1,073796E+09;1,049813E+09;1,026491E+09;1,003717E+09;9,813759E+08;9,593607E+08;9,376222E+08;9,161839E+08;8,950411E+08;8,742131E+08;8,537168E+08;8,335454E+08;8,136684E+08;7,941309E+08;7,749789E+08;7,562269E+08;7,379621E+08;7,202285E+08;7,027052E+08;6,851845E+08;6,676957E+08;6,502184E+08;6,328487E+08;6,156591E+08;5,988008E+08;5,824424E+08;5,666484E+08;5,513789E+08;5,36638E+08;5,223635E+08;5,085239E+08;4,951208E+08;4,821591E+08;4,696168E+08;4,574707E+08;4,456923E+08;4,342557E+08;4,231489E+08;4,123905E+08;4,020021E+08;3,919934E+08;3,823788E+08;3,731213E+08;3,641303E+08;3,552687E+08;3,464541E+08;3,376333E+08;3,28831E+08;3,201371E+08;3,116814E+08;3,03556E+08;2,957899E+08;2,883487E+08;2,812146E+08;2,743481E+08;2,677195E+08;IDA only;IDX;Population, total;SP.POP.TOTL
Население, всего;IDA total;;1,659557E+09;1,623804E+09;1,588869E+09;1,554747E+09;1,521317E+09;1,488133E+09;1,455539E+09;1,423845E+09;1,392754E+09;1,362292E+09;1,332466E+09;1,303207E+09;1,274466E+09;1,246289E+09;1,218607E+09;1,1913E+09;1,164455E+09;1,138157E+09;1,111991E+09;1,085859E+09;1,059837E+09;1,033956E+09;1,008224E+09;9,826422E+08;9,573704E+08;9,326024E+08;9,083203E+08;8,842574E+08;8,607404E+08;8,377921E+08;8,155477E+08;7,941137E+08;7,73426E+08;7,533903E+08;7,339007E+08;7,150209E+08;6,963544E+08;6,781645E+08;6,605437E+08;6,435435E+08;6,271781E+08;6,114863E+08;5,964301E+08;5,818456E+08;5,676623E+08;5,53705E+08;5,398371E+08;5,261697E+08;5,12754E+08;4,997591E+08;4,872337E+08;4,752207E+08;4,636061E+08;4,526171E+08;4,419052E+08;4,315812E+08;IDA total;IDA;Population, total;SP.POP.TOTL
Население, всего;Late-demographic dividend;;2,249155E+09;2,235786E+09;2,222181E+09;2,20863E+09;2,195191E+09;2,182061E+09;2,169132E+09;2,155686E+09;2,142553E+09;2,12949E+09;2,115936E+09;2,102016E+09;2,088053E+09;2,073941E+09;2,059526E+09;2,044297E+09;2,028429E+09;2,011082E+09;1,992618E+09;1,973565E+09;1,954371E+09;1,933111E+09;1,913031E+09;1,892687E+09;1,873169E+09;1,84967E+09;1,824416E+09;1,797644E+09;1,770022E+09;1,742492E+09;1,716424E+09;1,691998E+09;1,668474E+09;1,644046E+09;1,619555E+09;1,597245E+09;1,575177E+09;1,55267E+09;1,530371E+09;1,508025E+09;1,484121E+09;1,458683E+09;1,431018E+09;1,40192E+09;1,371813E+09;1,340256E+09;1,309364E+09;1,279064E+09;1,250258E+09;1,222283E+09;1,19345E+09;1,167373E+09;1,141955E+09;1,116289E+09;1,101811E+09;1,099609E+09;Late-demographic dividend;LTE;Population, total;SP.POP.TOTL
